#{"t_start": 1663577230.6982, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
13,50,114.281647,0.74,0.7298948082796064
14,50,114.314951,0.72,0.7359465208143422
14,50,114.34609,0.72,0.761470677605591
15,50,114.382435,0.7,0.7414004914004914
12,50,114.4136,0.76,0.7601374570446735
18,50,114.454032,0.64,0.6388039415562351
16,50,114.491472,0.68,0.6862026862026862
14,50,114.527537,0.72,0.7698602113876577
16,50,114.565156,0.68,0.6662714878482513
12,50,114.595307,0.76,0.7974285714285714
14,50,114.629108,0.72,0.7570659488559892
8,50,114.651219,0.84,0.8737564322469983
11,50,114.682667,0.78,0.8032994923857868
12,50,114.715656,0.76,0.7898858075040783
16,50,114.754192,0.68,0.7625373630023248
23,50,114.798888,0.54,0.5438259756877799
12,50,114.832938,0.76,0.7623859191655802
11,50,114.864108,0.78,0.7905449770190414
16,50,114.903219,0.68,0.7179571663920923
18,50,114.941284,0.64,0.6431118314424635
10,50,114.969413,0.8,0.8360852596817773
7,50,114.991253,0.86,0.8244465232304334
13,50,115.024827,0.74,0.7727840199750312
12,50,115.053172,0.76,0.7923076923076923
16,50,115.092448,0.68,0.7019906323185011
10,50,115.11967,0.8,0.8316310739709069
14,50,115.155178,0.72,0.7310632383599722
13,50,115.188747,0.74,0.7365591397849462
14,50,115.224773,0.72,0.7449313276651406
19,50,115.271492,0.62,0.7061345646437994
14,50,115.304567,0.72,0.7237219988512349
8,50,115.325756,0.84,0.8212051366480079
14,50,115.361108,0.72,0.7499177360974004
12,50,115.392068,0.76,0.7978994271164863
16,50,115.427546,0.68,0.7220426632191338
13,50,115.459335,0.74,0.7488748874887489
8,50,115.481842,0.84,0.8747907599598259
13,50,115.514449,0.74,0.7712333224861698
14,50,115.55085,0.72,0.7190824468085106
20,50,115.597651,0.6,0.6214168039538714
10,50,115.621649,0.8,0.8060644346178143
14,50,115.65355,0.72,0.7207958921694481
17,50,115.692724,0.66,0.6834532374100719
14,50,115.723271,0.72,0.7949595519601742
14,50,115.755446,0.72,0.7122685911515532
11,50,115.78327,0.78,0.8138674884437597
14,50,115.818643,0.72,0.7588176016123614
12,50,115.85031,0.76,0.7856482907299045
13,50,115.881894,0.74,0.8015524805939925
11,50,115.907778,0.78,0.7538836430094426
7,50,115.925699,0.86,0.896387184730743
8,50,115.948581,0.84,0.8614625115705029
13,50,115.979877,0.74,0.7860108591504311
21,50,116.024405,0.58,0.5958967982592478
14,50,116.056369,0.72,0.7163461538461539
11,50,116.084381,0.78,0.7972895040369089
17,50,116.122693,0.66,0.6475164572112507
13,50,116.157467,0.74,0.7382929259382265
11,50,116.184984,0.78,0.7758454106280194
18,50,116.224662,0.64,0.6475247524752475
9,50,116.249312,0.82,0.8482515239011871
13,50,116.281431,0.74,0.7842122290520867
13,50,116.313956,0.74,0.7387136672850959
14,50,116.349681,0.72,0.7170212765957447
9,50,116.377894,0.82,0.7877732024073487
14,50,116.412893,0.72,0.7018611309949893
13,50,116.447578,0.74,0.7688442211055276
17,50,116.486881,0.66,0.6787360105332455
14,50,116.520921,0.72,0.756748650269946
20,50,116.562848,0.6,0.6160298229263746
18,50,116.60104,0.64,0.6421568627450981
13,50,116.636632,0.74,0.7457896409278678
9,50,116.658951,0.82,0.8257986738999398
17,50,116.698016,0.66,0.6390494540783558
18,50,116.743375,0.64,0.6483383685800604
8,50,116.769032,0.84,0.8379960962914769
8,50,116.792127,0.84,0.8556183301946014
15,50,116.828666,0.7,0.7544146500981034
15,50,116.865603,0.7,0.7578150707469562
13,50,116.898042,0.74,0.7660714285714286
16,50,116.938499,0.68,0.71875
15,50,116.974798,0.7,0.6959044368600683
18,50,117.01854,0.64,0.6806646525679758
13,50,117.053906,0.74,0.7604602510460251
20,50,117.100549,0.6,0.6253988513082323
13,50,117.136477,0.74,0.7904385334291877
11,50,117.165728,0.78,0.7914129110840439
8,50,117.190446,0.84,0.8519206939281289
15,50,117.222938,0.7,0.7402349952365831
14,50,117.257665,0.72,0.7543591312327929
11,50,117.284046,0.78,0.7769012306721363
15,50,117.319532,0.7,0.7153979238754326
12,50,117.349698,0.76,0.7717990275526743
12,50,117.37898,0.76,0.776511554289332
10,50,117.410085,0.8,0.8682144076476613
12,50,117.441409,0.76,0.7865816636308439
17,50,117.478751,0.66,0.7080686149936467
10,50,117.505367,0.8,0.8026111283804787
19,50,117.548982,0.62,0.6955945677376615
13,50,117.580153,0.74,0.7543061423464413
18,50,117.623322,0.64,0.6623762376237624
14,50,117.658332,0.72,0.7231503579952268
16,50,117.696035,0.68,0.6860949208992506
10,50,117.724802,0.8,0.7978444509175648
20,50,117.767887,0.6,0.6536154089043259
13,50,117.800701,0.74,0.7586605080831409
